,Annual_salary,Age,Experience_years,Sex_F,Sex_M,Race_AMIND,Race_ASIAN,Race_BLACK,Race_HISPA,Race_WHITE,"Job_title_Captain, Public Safety",Job_title_Corporal,Job_title_Director IV,Job_title_Director VI,Job_title_Director VII,"Job_title_Lieutenant, Public Safety","Job_title_Major, Public Safety",Job_title_Probationary Trooper,"Job_title_Sergeant, Public Safety",Job_title_Trooper
209,79323.0,54,25.862269588013444,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
210,64918.92,29,5.533310061123774,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
211,75967.92,50,22.204425826676797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
212,53241.96,25,4.479215863433199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
213,69540.96,36,12.260347577294537,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
214,102264.96,33,13.177546424635688,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
215,53241.96,25,5.475814013977015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
216,64918.92,40,4.805026797264831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
217,80820.96,58,16.244002272462815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
218,53241.96,26,4.805026797264831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
219,64918.92,32,7.469010315064649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
220,79323.0,71,17.254289958041575,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
221,64918.92,35,7.469010315064649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
222,64918.92,36,6.970711239792741,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
223,53241.96,26,3.98091678816129,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
224,75967.92,40,21.26532372327974,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
225,53241.96,52,3.808428646721014,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
226,64918.92,30,6.970711239792741,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227,72612.96,43,14.828504349849757,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
228,69540.96,46,13.256945727838353,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
229,64918.92,38,7.469010315064649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
230,89073.96,40,14.828504349849757,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
231,69540.96,34,11.395168963086169,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
232,64918.92,37,6.472412164520832,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
233,69540.96,34,13.369199915124883,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
234,64918.92,33,4.479215863433199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
235,64918.92,29,4.306727721992923,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
236,72612.96,37,17.840202057537116,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
237,53241.96,24,4.306727721992923,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
238,53241.96,23,3.4826177128893816,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239,53241.96,34,3.98091678816129,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
240,72612.96,57,16.91752739618199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
241,64918.92,33,3.4826177128893816,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
242,64918.92,38,3.6167751562318187,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
243,64918.92,31,7.945406134280649,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
244,53241.96,31,4.306727721992923,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
245,53241.96,24,3.808428646721014,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
246,53241.96,28,5.475814013977015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
247,69540.96,45,13.256945727838353,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
248,72612.96,44,14.828504349849757,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
249,69540.96,37,12.985892934146491,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
250,53241.96,49,4.977514938705107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
251,53241.96,25,3.4826177128893816,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
252,53241.96,44,4.805026797264831,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
253,53241.96,29,5.974113089248924,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
